=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-10-16_23-1-15
====================================================================================
23:1:15 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:17:59 | "SpookySlayer" (steamid=76561199187022977) just updated a health stat on (steamid=76561199187022977)
23:18:0 | "SpookySlayer" (steamid=76561199187022977) gave godmode to (steamid=76561199187022977)
23:18:46 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<8455.759766, 506.187653, 11078.599609>)
23:18:46 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=8455.76,0,11078.6)
23:18:56 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:19:46 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:20:7 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<5772.399902, 255.669022, 6283.069824>)
23:20:7 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=5772.4,0,6283.07)
23:20:13 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:23:3 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<4122.290039, 263.075073, 10158.900391>)
23:23:3 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=4122.29,0,10158.9)
23:23:7 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:23:13 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:23:32 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:24:14 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<7502.390137, 289.450806, 13618.900391>)
23:24:14 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=7502.39,0,13618.9)
23:24:24 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:25:37 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<6671.810059, 285.613068, 13804.700195>)
23:25:37 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=6671.81,0,13804.7)
23:25:40 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:25:47 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:26:19 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:26:35 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<3911.820068, 263.723602, 14050.500000>)
23:26:35 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=3911.82,0,14050.5)
23:26:40 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:27:6 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:27:30 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<5353.790039, 195.332184, 1800.260010>)
23:27:30 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=5353.79,0,1800.26)
23:27:50 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<5485.140137, 193.339615, 1296.800049>)
23:27:50 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=5485.14,0,1296.8)
23:27:54 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:29:0 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<4691.020020, 201.298828, 2634.370117>)
23:29:0 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=4691.02,0,2634.37)
23:29:4 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:29:6 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:30:3 | "SpookySlayer" (steamid=76561199187022977) toggled freecam
23:30:50 | "76561199187022977" (steamid=76561199187022977) teleported to (pos=<4377.720215, 200.806396, 3151.780029>)
23:30:50 | "SpookySlayer": (steamid=76561199187022977) teleported to (pos=4377.72,0,3151.78)
23:30:55 | Player "SpookySlayer" (steamId=76561199187022977) disconnected from server.
23:30:58 | Player "SpookySlayer" (steamId=76561199187022977) disconnected from server.
23:42:27 | Player "Survivor" (steamId=76561198273466050) connected to server!
23:42:40 | Player "Survivor" (steamId=76561198273466050) connected to server!
23:48:20 | Player "NewAgeMerlin" (steamId=76561198331516052) disconnected from server.
0:4:36 | Player "Frank" (steamId=76561199004385675) disconnected from server.
0:5:2 | Player "Survivor" (steamId=76561198273466050) disconnected from server.
0:6:49 | Player "5K Breezy" (steamId=76561198802878311) connected to server!
0:7:39 | Player "5K Breezy" (steamId=76561198802878311) connected to server!
0:20:49 | Player "5K Breezy" (steamId=76561198802878311) disconnected from server.
0:21:19 | Player "5K Breezy" (steamId=76561198802878311) connected to server!
0:21:24 | Player "5K Breezy" (steamId=76561198802878311) connected to server!
0:25:55 | Player "Endless" (steamId=76561198006641904) connected to server!
0:26:43 | Player "Endless" (steamId=76561198006641904) connected to server!
0:30:11 | Player "Andrew" (steamId=76561199096148388) disconnected from server.
0:30:11 | Player "Endless" (steamId=76561198006641904) disconnected from server.
0:30:11 | Player "5K Breezy" (steamId=76561198802878311) disconnected from server.
